fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.24\configure,true,1,0,0,1,1
BASE.24\configure.in,true,1,0,0,1,1
BASE.24\COPYRIGHT,true,1,0,0,1,1
BASE.24\doc,true,1,0,0,1,1
BASE.24\doc\lemon.html,true,860,0,0,860,860
BASE.24\Makefile.in,true,1,0,0,1,1
BASE.24\README,true,1,0,0,1,1
BASE.24\src,true,1,0,0,1,1
BASE.24\src\build.c,true,863,0,0,863,863
BASE.24\src\dbbe.c,true,528,0,0,528,528
BASE.24\src\dbbe.h,true,121,0,0,121,121
BASE.24\src\delete.c,true,131,0,0,131,131
BASE.24\src\expr.c,true,526,0,0,526,526
BASE.24\src\insert.c,true,157,0,0,157,157
BASE.24\src\main.c,true,218,0,0,218,218
BASE.24\src\parse.y,true,1,0,0,1,1
BASE.24\src\select.c,true,270,0,0,270,270
BASE.24\src\shell.c,true,464,0,0,464,464
BASE.24\src\sqlite.h,true,117,0,0,117,117
BASE.24\src\sqliteInt.h,true,266,0,0,266,266
BASE.24\src\tclsqlite.c,true,295,0,0,295,295
BASE.24\src\tokenize.c,true,381,0,0,381,381
BASE.24\src\update.c,true,224,0,0,224,224
BASE.24\src\util.c,true,699,0,0,699,699
BASE.24\src\vdbe.c,true,2206,0,0,2206,2206
BASE.24\src\vdbe.h,true,175,0,0,175,175
BASE.24\src\where.c,true,354,0,0,354,354
BASE.24\test,true,1,0,0,1,1
BASE.24\test\all.test,true,1,0,0,1,1
BASE.24\test\copy.test,true,1,0,0,1,1
BASE.24\test\delete.test,true,1,0,0,1,1
BASE.24\test\expr.test,true,1,0,0,1,1
BASE.24\test\index.test,true,1,0,0,1,1
BASE.24\test\insert.test,true,1,0,0,1,1
BASE.24\test\select1.test,true,1,0,0,1,1
BASE.24\test\table.test,true,1,0,0,1,1
BASE.24\test\tester.tcl,true,1,0,0,1,1
BASE.24\test\update.test,true,1,0,0,1,1
BASE.24\tool,true,1,0,0,1,1
BASE.24\tool\gdbmdump.c,true,89,0,0,89,89
BASE.24\tool\lemon.c,true,4020,0,0,4020,4020
BASE.24\tool\lempar.c,true,605,0,0,605,605
BASE.24\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.24\tool\opNames.awk,true,1,0,0,1,1
BASE.24\tool\renumberOps.awk,true,1,0,0,1,1
BASE.24\www,true,1,0,0,1,1
BASE.24\www\changes.tcl,true,1,0,0,1,1
BASE.24\www\c_interface.tcl,true,1,0,0,1,1
BASE.24\www\index.tcl,true,1,0,0,1,1
BASE.24\www\sqlite.tcl,true,1,0,0,1,1
