fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.27\configure,true,1,0,0,1,1
BASE.27\configure.in,true,1,0,0,1,1
BASE.27\COPYRIGHT,true,1,0,0,1,1
BASE.27\doc,true,1,0,0,1,1
BASE.27\doc\lemon.html,true,860,0,0,860,860
BASE.27\Makefile.in,true,1,0,0,1,1
BASE.27\README,true,1,0,0,1,1
BASE.27\src,true,1,0,0,1,1
BASE.27\src\build.c,true,863,0,0,863,863
BASE.27\src\dbbe.c,true,587,0,0,587,587
BASE.27\src\dbbe.h,true,129,0,0,129,129
BASE.27\src\delete.c,true,131,0,0,131,131
BASE.27\src\expr.c,true,526,0,0,526,526
BASE.27\src\insert.c,true,157,0,0,157,157
BASE.27\src\main.c,true,218,0,0,218,218
BASE.27\src\parse.y,true,1,0,0,1,1
BASE.27\src\select.c,true,299,0,0,299,299
BASE.27\src\shell.c,true,464,0,0,464,464
BASE.27\src\sqlite.h,true,117,0,0,117,117
BASE.27\src\sqliteInt.h,true,266,0,0,266,266
BASE.27\src\tclsqlite.c,true,295,0,0,295,295
BASE.27\src\tokenize.c,true,382,0,0,382,382
BASE.27\src\update.c,true,224,0,0,224,224
BASE.27\src\util.c,true,699,0,0,699,699
BASE.27\src\vdbe.c,true,2243,0,0,2243,2243
BASE.27\src\vdbe.h,true,176,0,0,176,176
BASE.27\src\where.c,true,354,0,0,354,354
BASE.27\test,true,1,0,0,1,1
BASE.27\test\all.test,true,1,0,0,1,1
BASE.27\test\copy.test,true,1,0,0,1,1
BASE.27\test\delete.test,true,1,0,0,1,1
BASE.27\test\expr.test,true,1,0,0,1,1
BASE.27\test\index.test,true,1,0,0,1,1
BASE.27\test\insert.test,true,1,0,0,1,1
BASE.27\test\select1.test,true,1,0,0,1,1
BASE.27\test\table.test,true,1,0,0,1,1
BASE.27\test\tester.tcl,true,1,0,0,1,1
BASE.27\test\update.test,true,1,0,0,1,1
BASE.27\tool,true,1,0,0,1,1
BASE.27\tool\gdbmdump.c,true,89,0,0,89,89
BASE.27\tool\lemon.c,true,4020,0,0,4020,4020
BASE.27\tool\lempar.c,true,605,0,0,605,605
BASE.27\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.27\tool\opNames.awk,true,1,0,0,1,1
BASE.27\tool\renumberOps.awk,true,1,0,0,1,1
BASE.27\www,true,1,0,0,1,1
BASE.27\www\changes.tcl,true,1,0,0,1,1
BASE.27\www\c_interface.tcl,true,1,0,0,1,1
BASE.27\www\index.tcl,true,1,0,0,1,1
BASE.27\www\sqlite.tcl,true,1,0,0,1,1
