fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.4\configure,true,1,0,0,1,1
BASE.4\configure.in,true,1,0,0,1,1
BASE.4\doc,true,1,0,0,1,1
BASE.4\doc\lemon.html,true,860,0,0,860,860
BASE.4\Makefile.in,true,1,0,0,1,1
BASE.4\src,true,1,0,0,1,1
BASE.4\src\build.c,true,1434,0,0,1434,1434
BASE.4\src\dbbe.c,true,509,0,0,509,509
BASE.4\src\dbbe.h,true,118,0,0,118,118
BASE.4\src\main.c,true,218,0,0,218,218
BASE.4\src\shell.c,true,386,0,0,386,386
BASE.4\src\sqlite.h,true,117,0,0,117,117
BASE.4\src\sqliteInt.h,true,234,0,0,234,234
BASE.4\src\tclsqlite.c,true,240,0,0,240,240
BASE.4\src\tokenize.c,true,374,0,0,374,374
BASE.4\src\util.c,true,448,0,0,448,448
BASE.4\src\vdbe.c,true,1972,0,0,1972,1972
BASE.4\src\vdbe.h,true,165,0,0,165,165
BASE.4\src\where.c,true,565,0,0,565,565
BASE.4\tool,true,1,0,0,1,1
BASE.4\tool\gdbmdump.c,true,89,0,0,89,89
BASE.4\tool\lemon.c,true,4020,0,0,4020,4020
BASE.4\tool\lempar.c,true,605,0,0,605,605
BASE.4\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.4\tool\opNames.awk,true,1,0,0,1,1
BASE.4\tool\renumberOps.awk,true,1,0,0,1,1
BASE.4\www,true,1,0,0,1,1
BASE.4\www\c_interface.tcl,true,1,0,0,1,1
BASE.4\www\index.tcl,true,1,0,0,1,1
BASE.4\www\sqlite.tcl,true,1,0,0,1,1
