fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.30\configure,true,1,0,0,1,1
BASE.30\configure.in,true,1,0,0,1,1
BASE.30\COPYRIGHT,true,1,0,0,1,1
BASE.30\doc,true,1,0,0,1,1
BASE.30\doc\lemon.html,true,860,0,0,860,860
BASE.30\Makefile.in,true,1,0,0,1,1
BASE.30\README,true,1,0,0,1,1
BASE.30\src,true,1,0,0,1,1
BASE.30\src\build.c,true,863,0,0,863,863
BASE.30\src\dbbe.c,true,588,0,0,588,588
BASE.30\src\dbbe.h,true,129,0,0,129,129
BASE.30\src\delete.c,true,131,0,0,131,131
BASE.30\src\expr.c,true,526,0,0,526,526
BASE.30\src\insert.c,true,157,0,0,157,157
BASE.30\src\main.c,true,220,0,0,220,220
BASE.30\src\parse.y,true,1,0,0,1,1
BASE.30\src\select.c,true,299,0,0,299,299
BASE.30\src\shell.c,true,514,0,0,514,514
BASE.30\src\sqlite.h,true,117,0,0,117,117
BASE.30\src\sqliteInt.h,true,269,0,0,269,269
BASE.30\src\tclsqlite.c,true,295,0,0,295,295
BASE.30\src\tokenize.c,true,382,0,0,382,382
BASE.30\src\update.c,true,224,0,0,224,224
BASE.30\src\util.c,true,719,0,0,719,719
BASE.30\src\vdbe.c,true,2243,0,0,2243,2243
BASE.30\src\vdbe.h,true,176,0,0,176,176
BASE.30\src\where.c,true,354,0,0,354,354
BASE.30\test,true,1,0,0,1,1
BASE.30\test\all.test,true,1,0,0,1,1
BASE.30\test\copy.test,true,1,0,0,1,1
BASE.30\test\delete.test,true,1,0,0,1,1
BASE.30\test\expr.test,true,1,0,0,1,1
BASE.30\test\index.test,true,1,0,0,1,1
BASE.30\test\insert.test,true,1,0,0,1,1
BASE.30\test\select1.test,true,1,0,0,1,1
BASE.30\test\table.test,true,1,0,0,1,1
BASE.30\test\tester.tcl,true,1,0,0,1,1
BASE.30\test\update.test,true,1,0,0,1,1
BASE.30\tool,true,1,0,0,1,1
BASE.30\tool\gdbmdump.c,true,89,0,0,89,89
BASE.30\tool\lemon.c,true,4020,0,0,4020,4020
BASE.30\tool\lempar.c,true,605,0,0,605,605
BASE.30\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.30\tool\opNames.awk,true,1,0,0,1,1
BASE.30\tool\renumberOps.awk,true,1,0,0,1,1
BASE.30\www,true,1,0,0,1,1
BASE.30\www\changes.tcl,true,1,0,0,1,1
BASE.30\www\c_interface.tcl,true,1,0,0,1,1
BASE.30\www\index.tcl,true,1,0,0,1,1
BASE.30\www\sqlite.tcl,true,1,0,0,1,1
