fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.12\configure,true,1,0,0,1,1
BASE.12\configure.in,true,1,0,0,1,1
BASE.12\COPYRIGHT,true,1,0,0,1,1
BASE.12\doc,true,1,0,0,1,1
BASE.12\doc\lemon.html,true,860,0,0,860,860
BASE.12\Makefile.in,true,1,0,0,1,1
BASE.12\README,true,1,0,0,1,1
BASE.12\src,true,1,0,0,1,1
BASE.12\src\build.c,true,1434,0,0,1434,1434
BASE.12\src\dbbe.c,true,509,0,0,509,509
BASE.12\src\dbbe.h,true,118,0,0,118,118
BASE.12\src\main.c,true,218,0,0,218,218
BASE.12\src\parse.y,true,1,0,0,1,1
BASE.12\src\shell.c,true,386,0,0,386,386
BASE.12\src\sqlite.h,true,117,0,0,117,117
BASE.12\src\sqliteInt.h,true,234,0,0,234,234
BASE.12\src\tclsqlite.c,true,294,0,0,294,294
BASE.12\src\tokenize.c,true,374,0,0,374,374
BASE.12\src\util.c,true,449,0,0,449,449
BASE.12\src\vdbe.c,true,1972,0,0,1972,1972
BASE.12\src\vdbe.h,true,165,0,0,165,165
BASE.12\src\where.c,true,565,0,0,565,565
BASE.12\test,true,1,0,0,1,1
BASE.12\test\all.test,true,1,0,0,1,1
BASE.12\test\delete.test,true,1,0,0,1,1
BASE.12\test\index.test,true,1,0,0,1,1
BASE.12\test\insert.test,true,1,0,0,1,1
BASE.12\test\table.test,true,1,0,0,1,1
BASE.12\test\tester.tcl,true,1,0,0,1,1
BASE.12\test\update.test,true,1,0,0,1,1
BASE.12\tool,true,1,0,0,1,1
BASE.12\tool\gdbmdump.c,true,89,0,0,89,89
BASE.12\tool\lemon.c,true,4020,0,0,4020,4020
BASE.12\tool\lempar.c,true,605,0,0,605,605
BASE.12\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.12\tool\opNames.awk,true,1,0,0,1,1
BASE.12\tool\renumberOps.awk,true,1,0,0,1,1
BASE.12\www,true,1,0,0,1,1
BASE.12\www\c_interface.tcl,true,1,0,0,1,1
BASE.12\www\index.tcl,true,1,0,0,1,1
BASE.12\www\sqlite.tcl,true,1,0,0,1,1
