fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.46\configure,true,1,0,0,1,1
BASE.46\configure.in,true,1,0,0,1,1
BASE.46\COPYRIGHT,true,1,0,0,1,1
BASE.46\doc,true,1,0,0,1,1
BASE.46\doc\lemon.html,true,860,0,0,860,860
BASE.46\Makefile.in,true,1,0,0,1,1
BASE.46\README,true,1,0,0,1,1
BASE.46\src,true,1,0,0,1,1
BASE.46\src\build.c,true,872,0,0,872,872
BASE.46\src\dbbe.c,false,688,0,3,691,688
BASE.46\src\dbbe.h,true,129,0,0,129,129
BASE.46\src\delete.c,true,132,0,0,132,132
BASE.46\src\expr.c,true,525,0,0,525,525
BASE.46\src\insert.c,true,159,0,0,159,159
BASE.46\src\main.c,true,273,0,0,273,273
BASE.46\src\parse.y,true,1,0,0,1,1
BASE.46\src\select.c,true,299,0,0,299,299
BASE.46\src\shell.c,true,513,0,0,513,513
BASE.46\src\sqlite.h,true,134,0,0,134,134
BASE.46\src\sqliteInt.h,true,271,0,0,271,271
BASE.46\src\tclsqlite.c,true,295,0,0,295,295
BASE.46\src\tokenize.c,true,382,0,0,382,382
BASE.46\src\update.c,true,225,0,0,225,225
BASE.46\src\util.c,true,717,0,0,717,717
BASE.46\src\vdbe.c,true,2252,0,0,2252,2252
BASE.46\src\vdbe.h,true,176,0,0,176,176
BASE.46\src\where.c,true,354,0,0,354,354
BASE.46\test,true,1,0,0,1,1
BASE.46\test\all.test,true,1,0,0,1,1
BASE.46\test\copy.test,true,1,0,0,1,1
BASE.46\test\delete.test,true,1,0,0,1,1
BASE.46\test\expr.test,true,1,0,0,1,1
BASE.46\test\index.test,true,1,0,0,1,1
BASE.46\test\insert.test,true,1,0,0,1,1
BASE.46\test\select1.test,true,1,0,0,1,1
BASE.46\test\select2.test,true,1,0,0,1,1
BASE.46\test\table.test,true,1,0,0,1,1
BASE.46\test\tester.tcl,true,1,0,0,1,1
BASE.46\test\update.test,true,1,0,0,1,1
BASE.46\tool,true,1,0,0,1,1
BASE.46\tool\gdbmdump.c,true,89,0,0,89,89
BASE.46\tool\lemon.c,true,4021,0,0,4021,4021
BASE.46\tool\lempar.c,true,605,0,0,605,605
BASE.46\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.46\tool\opNames.awk,true,1,0,0,1,1
BASE.46\tool\renumberOps.awk,true,1,0,0,1,1
BASE.46\www,true,1,0,0,1,1
BASE.46\www\changes.tcl,true,1,0,0,1,1
BASE.46\www\c_interface.tcl,true,1,0,0,1,1
BASE.46\www\index.tcl,true,1,0,0,1,1
BASE.46\www\sqlite.tcl,true,1,0,0,1,1
